PlayerName,Price(IndCrores),SelectionPercent,Leader,PlayerRole,Nationality
Virat Kohli,15.0,93%,ViceCaptain,Batsmen,Indian
Glenn Maxwell,11.0,87%,,AllRounder,Overseas
Mohammed Siraj,7.0,89%,,Bowler,Indian
Faf DuPlessis,7.0,91%,Captain,Batsmen,Overseas
Harshal Patel,10.75,88%,,Bowler,Indian
Wanindu Hasaranga,10.75,84%,,AllRounder,Overseas
Dinesh Karthik,5.5,85%,,WicketKeeper,Indian
Josh Hazlewood,7.75,86%,,Bowler,Overseas
Shahbaz Ahmed,2.4,86%,,AllRounder,Indian
Anuj Rawat,3.4,72%,,WicketKeeper,Indian
Aneeshwar Gautam,0.2,54%,,Batsmen,Indian
