PlayerName,Price(IndCrores),SelectionPercent,Leader,PlayerRole,Nationality
Virat Kohli,15,93%,ViceCaptain,Batsmen,Indian
Glenn Maxwell,11,87%,,AllRounder,Overseas
Mohammed Siraj,7,89%,,Bowler,Indian
Faf DuPlessis,7,91%,Captain,Batsmen,Overseas
Harshal Patel,10.75,88%,,Bowler,Indian
Wanindu Hasaranga,10.75,84%,,AllRounder,Overseas
Dinesh Karthik,5.5,85%,,WicketKeeper,Indian
Josh Hazlewood,7.75,86%,,Bowler,Overseas
Shahbaz Ahmed,2.4,86%,,AllRounder,Indian
Anuj Rawat,3.4,72%,,WicketKeeper,Indian
Akash Deep,0.2,64%,,Bowler,Indian
Mahipal Lomror,0.95,61%,,AllRounder,Indian
Finn Allen,0.8,77%,,WicketKeeper,Overseas
Sherfane Rutherford,1,68%,,Batsmen,Overseas
Jason Behrendorff,0.75,71%,,Bowler,Overseas
Suyash Prabhudessai,0.3,67%,,Bowler,Indian
Chama Milind,0.25,62%,,Bowler,Indian
Aneeshwar Gautam,0.2,54%,,Batsmen,Indian
Karn Sharma,0.5,58%,,Bowler,Indian
Siddharth Kaul,0.75,59%,,Bowler,Indian
Luvnith Sisodia,0.2,54%,,Batsmen,Indian
David Willey,2,69%,,AllRounder,Overseas
